filename,relative_path,category,title,transparent_background,dimensions,filesize_bytes,includes,intended_use
signal-to-system-design-board.jpg,04-reference-boards/signal-to-system-design-board.jpg,reference-board,Design board concepts,no,2040x1830,613378,"Four visual concept frames showing editorial, evidence, notebook, and design-system directions for Signal to System.",High-level art direction and review board.
signal-to-system-lab-prototype.html,05-prior-handoffs/signal-to-system-lab-prototype.html,prototype,Interactive prototype (HTML),no,,85327,"Interactive local prototype covering homepage, Labs, investigations, projects, notebooks, Studio, and design language switching.",Reference prototype for design and interaction guidance.
signal_to_system_better_questions_brighter_futur.png,01-site-mockups/signal_to_system_better_questions_brighter_futur.png,site-mockup,Homepage mockup v1,no,1448x1086,1774615,"Homepage concept with observatory hero, primary navigation, featured labs, evidence-at-a-glance, writing, projects, notebook, and Studio sections.",Homepage / shell direction.
signal_to_system_labs_index.png,01-site-mockups/signal_to_system_labs_index.png,site-mockup,Labs index mockup,no,1448x1086,2063614,"Labs landing page with investigations, evidence summaries, filterable structure, and rich research presentation.",Labs section design guidance.
urban_heat_mapped_research_dashboard.png,01-site-mockups/urban_heat_mapped_research_dashboard.png,site-mockup,Urban Heat investigation dashboard mockup,no,1448x1086,1940317,Detailed investigation/project page centered on the Urban Heat study with research dashboard treatment.,Investigation detail / data-rich page reference.
signal_to_system_notebooks.png,01-site-mockups/signal_to_system_notebooks.png,site-mockup,Notebooks index mockup,no,1448x1086,2112873,"Notebook landing page with rough leaves, sketches, notes, and exploratory work in a polished shell.",Notebooks section design guidance.
signal_to_system_observatory_components.png,01-site-mockups/signal_to_system_observatory_components.png,site-mockup,Observatory components / Studio mockup,no,1448x1086,1902533,Component/studio page showing UI components and observatory-inspired design language.,Studio / design system reference.
writing_that_turns_observations_into_systems.png,01-site-mockups/writing_that_turns_observations_into_systems.png,site-mockup,Writing hub mockup,no,1448x1086,1867309,"Writing index showing Essays, Field Notes, Dev Stories, Guides/Companions, filters, start-here sidebar, topics, and reading paths.",Writing section IA and design guidance.
signal_to_system_dev_stories.png,01-site-mockups/signal_to_system_dev_stories.png,site-mockup,Dev Stories index mockup,no,1448x1086,1994069,"Dev Stories page separating Builder Notes (human + agent) and Automated AARs (automated + reviewed), with explanatory sidebar and workflow context.",Dev Stories taxonomy and page guidance.
signal_to_system_about_nick_miethe.png,01-site-mockups/signal_to_system_about_nick_miethe.png,site-mockup,About page mockup,no,1448x1086,1791531,"About Nick Miethe page with mission, bio, domains, method loop, timeline, current work, and navigation to major sections.",About page design guidance.
